ENSMUST00000000001	Gnai3__chr3
ENSMUST00000102640	Oxct2a__chr4
ENSMUST00000102641	Bmp8a__chr4
ENSMUST00000102642	Ube2l6__chr2
ENSMUST00000102643	Trpv2__chr11
ENSMUST00000102645	Med19__chr2
ENSMUST00000102646	2700094K13Rik__chr2
ENSMUST00000102647	2700094K13Rik__chr2
ENSMUST00000102648	Oxct2b__chr4
ENSMUST00000102649	Trit1__chr4
ENSMUST00000102650	Akap10__chr11
ENSMUST00000102651	Pde1a__chr2
ENSMUST00000102652	Pde1a__chr2
ENSMUST00000102653	Pde1a__chr2
ENSMUST00000102654	Pde1a__chr2
ENSMUST00000102655	Pde1a__chr2
ENSMUST00000102656	Foxo6__chr4
ENSMUST00000102657	B9d1__chr11
ENSMUST00000102659	Sestd1__chr2
ENSMUST00000102660	Sestd1__chr2
ENSMUST00000102661	Rnf112__chr11
ENSMUST00000102662	P3h1__chr4
ENSMUST00000102665	Mog__chr17
ENSMUST00000102666	Olfr62__chr4
ENSMUST00000102667	Smcr8__chr11
ENSMUST00000102668	Top3a__chr11
ENSMUST00000102669	Rpl13a__chr7
ENSMUST00000102671	Mpl__chr4
ENSMUST00000102672	Nfe2l2__chr2
ENSMUST00000102673	Elovl1__chr4
ENSMUST00000102675	H2-T3__chr17
ENSMUST00000102676	Lnp__chr2
ENSMUST00000102677	Chn1__chr2
ENSMUST00000102678	H2-T23__chr17
ENSMUST00000102679	Wipf1__chr2
ENSMUST00000102680	Wipf1__chr2
ENSMUST00000102682	Tom1l2__chr11
ENSMUST00000102683	Tom1l2__chr11
ENSMUST00000102687	Dmap1__chr4
ENSMUST00000102688	Rai1__chr11
ENSMUST00000102689	Sp3__chr2
ENSMUST00000102690	Rnf220__chr4
ENSMUST00000102691	Cdca7__chr2
ENSMUST00000102692	Pemt__chr11
ENSMUST00000102693	Pemt__chr11
ENSMUST00000102694	Ptgfrn__chr3
ENSMUST00000102695	Nt5m__chr11
ENSMUST00000102696	Rps8__chr4
ENSMUST00000102697	Flcn__chr11
ENSMUST00000102698	Rapgef4__chr2
ENSMUST00000102699	Mutyh__chr4
ENSMUST00000102701	Dcaf17__chr2
ENSMUST00000102703	Zfp39__chr11
ENSMUST00000102704	Rad54l__chr4
ENSMUST00000102705	Rad54l__chr4
ENSMUST00000102706	Fastkd1__chr2
ENSMUST00000102707	Cyp4b1__chr4
ENSMUST00000102709	Abcb11__chr2
ENSMUST00000102710	Abcb11__chr2
ENSMUST00000102711	Gemin5__chr11
ENSMUST00000102713	4933409G03Rik__chr2
ENSMUST00000102715	Stk39__chr2
ENSMUST00000102716	Glra1__chr11
ENSMUST00000102718	Ttc21b__chr2
ENSMUST00000102719	Slc5a9__chr4
ENSMUST00000102720	Slc5a9__chr4
ENSMUST00000102721	Slc5a9__chr4
ENSMUST00000102722	Elavl4__chr4
ENSMUST00000102723	Elavl4__chr4
ENSMUST00000102724	Faf1__chr4
ENSMUST00000102725	4930522H14Rik__chr4
ENSMUST00000102726	Cobll1__chr2
ENSMUST00000102727	Anxa6__chr11
ENSMUST00000102728	Fign__chr2
ENSMUST00000102729	Eps15__chr4
ENSMUST00000102730	Tnip1__chr11
ENSMUST00000102731	Tnip1__chr11
ENSMUST00000102732	Fap__chr2
ENSMUST00000102733	Gcg__chr2
ENSMUST00000102735	Slc4a10__chr2
ENSMUST00000102736	Nrd1__chr4
ENSMUST00000102737	Tbr1__chr2
ENSMUST00000102738	Kti12__chr4
ENSMUST00000102739	Btf3l4__chr4
ENSMUST00000102740	Btf3l4__chr4
ENSMUST00000102741	Btf3l4__chr4
ENSMUST00000102742	Btf3l4__chr4
ENSMUST00000102743	Rapgef6__chr11
ENSMUST00000102744	Orc1__chr4
ENSMUST00000102745	Tnfaip2__chr12
ENSMUST00000102746	Uba2__chr7
ENSMUST00000102747	March7__chr2
ENSMUST00000102748	March7__chr2
ENSMUST00000102749	Arnt__chr3
ENSMUST00000102751	Wdsub1__chr2
ENSMUST00000102752	Homer1__chr13
ENSMUST00000102754	Pkp4__chr2
ENSMUST00000102755	Upp2__chr2
ENSMUST00000102758	Vdac1__chr11
ENSMUST00000102759	Stam2__chr2
ENSMUST00000102760	Cacnb4__chr2
ENSMUST00000102761	Cacnb4__chr2
ENSMUST00000102762	Acot11__chr4
ENSMUST00000102763	Cdkn2aipnl__chr11
ENSMUST00000102765	Col23a1__chr11
ENSMUST00000102766	Zfp354a__chr11
ENSMUST00000102767	Rbm43__chr2
ENSMUST00000102768	Rbm43__chr2
ENSMUST00000102769	Mmadhc__chr2
ENSMUST00000102772	Ltc4s__chr11
ENSMUST00000102774	Sqstm1__chr11
ENSMUST00000102776	Rnf130__chr11
ENSMUST00000102777	Lepr__chr4
ENSMUST00000102778	Mapk9__chr11
ENSMUST00000102780	Ak4__chr4
ENSMUST00000102781	Jak1__chr4
ENSMUST00000102782	Gm2000__chr1
ENSMUST00000102783	Pgm2__chr4
ENSMUST00000102785	Olfr56__chr11
ENSMUST00000102786	Itgb3bp__chr4
ENSMUST00000102787	Dennd1a__chr2
ENSMUST00000102789	Zbtb26__chr2
ENSMUST00000102790	Kank4__chr4
ENSMUST00000102792	Inadl__chr4
ENSMUST00000102793	Tm2d1__chr4
ENSMUST00000102794	Ggta1__chr2
ENSMUST00000102795	Ublcp1__chr11
ENSMUST00000102796	Il12b__chr11
ENSMUST00000102798	Tek__chr4
ENSMUST00000102799	Elavl2__chr4
ENSMUST00000102800	Gapvd1__chr2
ENSMUST00000102801	Tenm2__chr11
ENSMUST00000102802	Btla__chr16
ENSMUST00000102803	Myh7__chr14
ENSMUST00000102804	Ifna5__chr4
ENSMUST00000102805	Cd200r2__chr16
ENSMUST00000102806	Ifna12__chr4
ENSMUST00000102807	Ifna9__chr4
ENSMUST00000102808	Ifna14__chr4
ENSMUST00000102809	Ifna15__chr4
ENSMUST00000102810	Garnl3__chr2
ENSMUST00000102811	Rpl12__chr2
ENSMUST00000102812	Mbp__chr18
ENSMUST00000102813	1700019L03Rik__chr2
ENSMUST00000102814	Rps6__chr4
ENSMUST00000102815	Ranbp17__chr11
ENSMUST00000102817	Gap43__chr16
ENSMUST00000102818	St6galnac4__chr2
ENSMUST00000102819	Cntln__chr4
ENSMUST00000102820	Bnc2__chr4
ENSMUST00000102821	Stk10__chr11
ENSMUST00000102822	Nrp2__chr1
ENSMUST00000102823	Ttc39b__chr4
ENSMUST00000102824	Ifit1__chr19
ENSMUST00000102825	Ifit3__chr19
ENSMUST00000102826	Ifit2__chr19
ENSMUST00000102827	Icos__chr1
ENSMUST00000102829	4930524B15Rik__chr11
ENSMUST00000102830	Mpdz__chr4
ENSMUST00000102831	Tyrp1__chr4
ENSMUST00000102832	Cd3e__chr9
ENSMUST00000102834	Ptprd__chr4
ENSMUST00000102837	Rasef__chr4
ENSMUST00000102838	Sptbn1__chr11
ENSMUST00000102840	Ass1__chr2
ENSMUST00000102841	Rtn4__chr11
ENSMUST00000102842	Rtn4__chr11
ENSMUST00000102843	Rtn4__chr11
ENSMUST00000102844	Rps27a__chr11
ENSMUST00000102845	Rps27a__chr11
ENSMUST00000102848	Tle1__chr4
ENSMUST00000102849	Usp20__chr2
ENSMUST00000102852	Ptges__chr2
ENSMUST00000102853	Cstad__chr2
ENSMUST00000102854	Crat__chr2
ENSMUST00000102855	Crat__chr2
ENSMUST00000102856	Smek2__chr11
ENSMUST00000102858	Atp1a3__chr7
ENSMUST00000102861	1700018C11Rik__chr4
ENSMUST00000102862	1700018C11Rik__chr4
ENSMUST00000102863	Papolg__chr11
ENSMUST00000102864	Rel__chr11
ENSMUST00000102865	Zdhhc12__chr2
ENSMUST00000102866	Set__chr2
ENSMUST00000102867	Whrn__chr4
ENSMUST00000102869	Xpo1__chr11
ENSMUST00000102870	Xpo1__chr11
ENSMUST00000102871	L1cam__chrX
ENSMUST00000102872	Rapgef1__chr2
ENSMUST00000102873	Ntng2__chr2
ENSMUST00000102874	Mdh1__chr11
ENSMUST00000102875	Ugp2__chr11
ENSMUST00000102877	1700026L06Rik__chr2
ENSMUST00000102878	Meis1__chr11
ENSMUST00000102879	Olfm1__chr2
ENSMUST00000102880	Ppp3r1__chr11
ENSMUST00000102881	Plek__chr11
ENSMUST00000102883	Ptbp3__chr4
ENSMUST00000102884	Egfr__chr11
ENSMUST00000102886	Sardh__chr2
ENSMUST00000102888	Camk2a__chr18
ENSMUST00000102889	AI314180__chr4
ENSMUST00000102890	Slc2a6__chr2
ENSMUST00000102891	Adamts13__chr2
ENSMUST00000102893	Musk__chr4
ENSMUST00000102894	Gp49a__chr10
ENSMUST00000102895	Robo4__chr9
ENSMUST00000102897	Txndc8__chr4
ENSMUST00000102898	Rpl7a__chr2
ENSMUST00000102899	Med22__chr2
ENSMUST00000102900	Abo__chr2
ENSMUST00000102902	Akap2__chr4
ENSMUST00000102903	Akap2__chr4
ENSMUST00000102904	Palm2__chr4
ENSMUST00000102905	Palm2__chr4
ENSMUST00000102907	Egfl7__chr2
ENSMUST00000102909	Sun3__chr11
ENSMUST00000102910	Wap__chr11
ENSMUST00000102911	Slc44a1__chr4
ENSMUST00000102912	March3__chr18
ENSMUST00000102914	Zmiz2__chr11
ENSMUST00000102915	Smc2__chr4
ENSMUST00000102917	Col15a1__chr4
ENSMUST00000102918	Clic3__chr2
ENSMUST00000102919	Abca2__chr2
ENSMUST00000102920	Gck__chr11
ENSMUST00000102921	Myl7__chr11
ENSMUST00000102922	Pold2__chr11
ENSMUST00000102923	Aebp1__chr11
ENSMUST00000102924	Trim14__chr4
ENSMUST00000102925	Uap1l1__chr2
ENSMUST00000102926	Anp32b__chr4
ENSMUST00000102927	Pdpk1__chr17
ENSMUST00000102928	Dbnl__chr11
ENSMUST00000102929	Tdrd7__chr4
ENSMUST00000102930	Ewsr1__chr11
ENSMUST00000102931	Nsmf__chr2
ENSMUST00000102932	Pax5__chr4
ENSMUST00000102934	Rnf38__chr4
ENSMUST00000102935	Arrdc1__chr2
ENSMUST00000102936	Gne__chr4
ENSMUST00000102938	Ehmt1__chr2
ENSMUST00000102939	Cacna1b__chr2
ENSMUST00000102942	Psd4__chr2
ENSMUST00000102943	Hus1b__chr13
ENSMUST00000102944	Creb3__chr4
ENSMUST00000102945	Nxph2__chr2
ENSMUST00000102946	Exoc2__chr13
ENSMUST00000102948	E2f3__chr13
ENSMUST00000102950	Osbp2__chr11
ENSMUST00000102951	Thnsl1__chr2
ENSMUST00000102952	Thnsl1__chr2
ENSMUST00000102953	Atp8b5__chr4
ENSMUST00000102954	Prl2b1__chr13
ENSMUST00000102955	Cetn4__chr3
ENSMUST00000102956	Slmap__chr14
ENSMUST00000102957	Ccl19__chr4
ENSMUST00000102960	Stam__chr2
ENSMUST00000102961	Cntfr__chr4
ENSMUST00000102962	Cntfr__chr4
ENSMUST00000102963	Dnaic1__chr4
ENSMUST00000102964	Hist1h4a__chr13
ENSMUST00000102965	Hist1h4b__chr13
ENSMUST00000102967	Hist1h4c__chr13
ENSMUST00000102968	Hist1h4d__chr13
ENSMUST00000102969	Hist1h2ae__chr13
ENSMUST00000102970	Prkcq__chr2
ENSMUST00000102971	Hist1h4f__chr13
ENSMUST00000102972	Hist1h4h__chr13
ENSMUST00000102973	Aco1__chr4
ENSMUST00000102975	Mob3b__chr4
ENSMUST00000102976	Gata3__chr2
ENSMUST00000102977	Hist1h4i__chr13
ENSMUST00000102978	Zfp184__chr13
ENSMUST00000102979	Hist1h4n__chr13
ENSMUST00000102980	Akr1b3__chr6
ENSMUST00000102981	Sec61a2__chr2
ENSMUST00000102982	Hist1h2bp__chr13
ENSMUST00000102983	Hist1h4k__chr13
ENSMUST00000102985	Mcm10__chr2
ENSMUST00000102988	Dclre1c__chr2
ENSMUST00000102989	Nmt2__chr2
ENSMUST00000102991	Tmem209__chr6
ENSMUST00000102992	Zc3hc1__chr6
ENSMUST00000102993	Ube2h__chr6
ENSMUST00000102994	Ufl1__chr4
ENSMUST00000102995	Ahcyl2__chr6
ENSMUST00000102996	4930452B06Rik__chr14
ENSMUST00000102997	Ccnc__chr4
ENSMUST00000102998	Nkain3__chr4
ENSMUST00000102999	Cngb3__chr4
ENSMUST00000103000	Ssxb2__chrX
ENSMUST00000103001	Ssx9__chrX
ENSMUST00000103002	Ywhaq__chr12
ENSMUST00000103003	Ssxb10__chrX
ENSMUST00000103004	Asph__chr4
ENSMUST00000103005	Shroom4__chrX
ENSMUST00000103006	Nudt10__chrX
ENSMUST00000103007	Nudt11__chrX
ENSMUST00000103008	Sdcbp__chr4
ENSMUST00000103009	Rps20__chr4
ENSMUST00000103010	Lyn__chr4
ENSMUST00000103012	Mup1__chr4
ENSMUST00000103013	Tbcd__chr11
ENSMUST00000103014	Fn3k__chr11
ENSMUST00000103015	Narf__chr11
ENSMUST00000103016	Aspscr1__chr11
ENSMUST00000103017	Nploc4__chr11
ENSMUST00000103018	Slc38a10__chr11
ENSMUST00000103019	Aatk__chr11
ENSMUST00000103020	Aatk__chr11
ENSMUST00000103021	Baiap2__chr11
ENSMUST00000103023	Rbfox3__chr11
ENSMUST00000103024	BC100451__chr11
ENSMUST00000103025	Tmc6__chr11
ENSMUST00000103026	Sec14l1__chr11
ENSMUST00000103027	Mgat5b__chr11
ENSMUST00000103028	Rhbdf2__chr11
ENSMUST00000103029	Rhbdf2__chr11
ENSMUST00000103031	Fbf1__chr11
ENSMUST00000103032	Llgl2__chr11
ENSMUST00000103033	2310067B10Rik__chr11
ENSMUST00000103034	2310067B10Rik__chr11
ENSMUST00000103035	Kctd2__chr11
ENSMUST00000103036	Ict1__chr11
ENSMUST00000103037	Ush1g__chr11
ENSMUST00000103038	Nat9__chr11
ENSMUST00000103039	Nat9__chr11
ENSMUST00000103040	Nat9__chr11
ENSMUST00000103041	Nat9__chr11
ENSMUST00000103042	Tcea2__chr2
ENSMUST00000103045	Stmn3__chr2
ENSMUST00000103047	Kcnq2__chr2
ENSMUST00000103048	Kcnq2__chr2
ENSMUST00000103049	Kcnq2__chr2
ENSMUST00000103050	Kcnq2__chr2
ENSMUST00000103051	Kcnq2__chr2
ENSMUST00000103053	Nkain4__chr2
ENSMUST00000103054	Dido1__chr2
ENSMUST00000103055	Dido1__chr2
ENSMUST00000103056	Dido1__chr2
ENSMUST00000103057	Dido1__chr2
ENSMUST00000103059	Col9a3__chr2
ENSMUST00000103060	Wipi1__chr11
ENSMUST00000103061	Amz2__chr11
ENSMUST00000103062	Rgs9__chr11
ENSMUST00000103064	Pitpnc1__chr11
ENSMUST00000103065	Phactr3__chr2
ENSMUST00000103066	Phactr3__chr2
ENSMUST00000103067	Smurf2__chr11
ENSMUST00000103068	Cep95__chr11
ENSMUST00000103069	Pecam1__chr11
ENSMUST00000103070	Tex2__chr11
ENSMUST00000103071	Gh__chr11
ENSMUST00000103072	Strada__chr11
ENSMUST00000103073	Cass4__chr2
ENSMUST00000103074	Sall4__chr2
ENSMUST00000103075	Nsf__chr11
ENSMUST00000103076	Spata32__chr11
ENSMUST00000103077	Plcd3__chr11
ENSMUST00000103079	Cttn__chr7
ENSMUST00000103081	Adam11__chr11
ENSMUST00000103084	Zfp334__chr2
ENSMUST00000103085	Zfp663__chr2
ENSMUST00000103086	Itga2b__chr11
ENSMUST00000103088	Elmo2__chr2
ENSMUST00000103091	Elmo2__chr2
ENSMUST00000103092	Ctsa__chr2
ENSMUST00000103093	Ctsa__chr2
ENSMUST00000103094	Acot8__chr2
ENSMUST00000103095	Tnnc2__chr2
ENSMUST00000103096	Wfdc3__chr2
ENSMUST00000103097	Spint5__chr2
ENSMUST00000103098	Nbr1__chr11
ENSMUST00000103099	Nbr1__chr11
ENSMUST00000103100	Eppin__chr2
ENSMUST00000103101	Pigt__chr2
ENSMUST00000103102	Ptges3l__chr11
ENSMUST00000103103	Matn4__chr2
ENSMUST00000103104	Matn4__chr2
ENSMUST00000103105	Aoc3__chr11
ENSMUST00000103107	Cntd1__chr11
ENSMUST00000103108	Wnk4__chr11
ENSMUST00000103109	Cntnap1__chr11
ENSMUST00000103110	Atp6v0a1__chr11
ENSMUST00000103111	Zhx3__chr2
ENSMUST00000103112	Zhx3__chr2
ENSMUST00000103114	Stat3__chr11
ENSMUST00000103115	Plcg1__chr2
ENSMUST00000103116	Ppp1r16b__chr2
ENSMUST00000103118	Kat2a__chr11
ENSMUST00000103119	Zfp385c__chr11
ENSMUST00000103120	Cnp__chr11
ENSMUST00000103121	D630003M21Rik__chr2
ENSMUST00000103122	Tgm2__chr2
ENSMUST00000103123	Rprd1b__chr2
ENSMUST00000103124	Hap1__chr11
ENSMUST00000103127	Krt35__chr11
ENSMUST00000103129	Dsn1__chr2
ENSMUST00000103130	Dsn1__chr2
ENSMUST00000103131	Krt10__chr11
ENSMUST00000103132	Krt222__chr11
ENSMUST00000103133	Smarce1__chr11
ENSMUST00000103134	Ccr7__chr11
ENSMUST00000103135	Epb4.1l1__chr2
ENSMUST00000103136	Epb4.1l1__chr2
ENSMUST00000103137	Epb4.1l1__chr2
ENSMUST00000103139	Thra__chr11
ENSMUST00000103140	Trpc4ap__chr2
ENSMUST00000103141	Ikzf3__chr11
ENSMUST00000103142	Acss2__chr2
ENSMUST00000103143	Fbxl20__chr11
ENSMUST00000103144	Cacnb1__chr11
ENSMUST00000103145	E2f1__chr2
ENSMUST00000103146	Rpl23__chr11
ENSMUST00000103147	Psmb3__chr11
ENSMUST00000103148	Pcgf2__chr11
ENSMUST00000103149	Pcgf2__chr11
ENSMUST00000103150	Dnmt3b__chr2
ENSMUST00000103151	Dnmt3b__chr2
ENSMUST00000103152	Cdk5rap3__chr11
ENSMUST00000103154	Skap1__chr11
ENSMUST00000103155	Ttll9__chr2
ENSMUST00000103156	Gip__chr11
ENSMUST00000103157	Gip__chr11
ENSMUST00000103159	Kat7__chr11
ENSMUST00000103160	Nsfl1c__chr2
ENSMUST00000103162	Sgca__chr11
ENSMUST00000103164	Acsf2__chr11
ENSMUST00000103166	Cacna1g__chr11
ENSMUST00000103168	Spag9__chr11
ENSMUST00000103171	Ovol2__chr2
ENSMUST00000103172	Dstn__chr2
ENSMUST00000103173	Tnfrsf18__chr4
ENSMUST00000103175	Ube2j2__chr4
ENSMUST00000103176	Mib2__chr4
ENSMUST00000103177	Lpo__chr11
ENSMUST00000103178	Prkcz__chr4
ENSMUST00000103179	Mtmr4__chr11
ENSMUST00000103180	Pex10__chr4
ENSMUST00000103181	Cds2__chr2
ENSMUST00000103182	Rassf2__chr2
ENSMUST00000103184	Adra1d__chr2
ENSMUST00000103186	Cltc__chr11
ENSMUST00000103188	1700037H04Rik__chr2
ENSMUST00000103191	Rpl22__chr4
ENSMUST00000103193	Itpa__chr2
ENSMUST00000103194	Car4__chr11
ENSMUST00000103195	Znhit3__chr11
ENSMUST00000103196	Espn__chr4
ENSMUST00000103197	Nol9__chr4
ENSMUST00000103198	Nop56__chr2
ENSMUST00000103199	Snrpb__chr2
ENSMUST00000103201	Acaca__chr11
ENSMUST00000103202	Sirpa__chr2
ENSMUST00000103203	Sirpa__chr2
ENSMUST00000103204	Per3__chr4
ENSMUST00000103205	Polr1b__chr2
ENSMUST00000103208	Tmem201__chr4
ENSMUST00000103209	Mmp28__chr11
ENSMUST00000103210	Bcl2l11__chr2
ENSMUST00000103211	Bcl2l11__chr2
ENSMUST00000103212	Ube4b__chr4
ENSMUST00000103213	Nle1__chr11
ENSMUST00000103214	Prom2__chr2
ENSMUST00000103215	Kcnip3__chr2
ENSMUST00000103216	Dffa__chr4
ENSMUST00000103217	Pex14__chr4
ENSMUST00000103218	Rffl__chr11
ENSMUST00000103220	Snrnp200__chr2
ENSMUST00000103221	Mtor__chr4
ENSMUST00000103222	Spaca3__chr11
ENSMUST00000103223	Spaca3__chr11
ENSMUST00000103224	Trpm7__chr2
ENSMUST00000103225	5730455P16Rik__chr11
ENSMUST00000103226	Gabpb1__chr2
ENSMUST00000103227	Gabpb1__chr2
ENSMUST00000103230	Nppa__chr4
ENSMUST00000103231	Nppb__chr4
ENSMUST00000103232	2510039O18Rik__chr4
ENSMUST00000103233	Crlf3__chr11
ENSMUST00000103234	Fbn1__chr2
ENSMUST00000103236	Evi2a__chr11
ENSMUST00000103238	Sema6d__chr2
ENSMUST00000103239	Sema6d__chr2
ENSMUST00000103240	Sema6d__chr2
ENSMUST00000103241	Sema6d__chr2
ENSMUST00000103242	Tmem97__chr11
ENSMUST00000103245	Mir761__chr4
ENSMUST00000103246	Gm24865__chr7
ENSMUST00000103249	Mir763__chr10
ENSMUST00000103251	Mir804__chr11
ENSMUST00000103252	Mir770__chr12
ENSMUST00000103254	Mir759__chr14
ENSMUST00000103255	Mir762__chr7
ENSMUST00000103256	Mir767__chrX
ENSMUST00000103257	Mir760__chr3
ENSMUST00000103258	Mir802__chr16
ENSMUST00000103259	Mir764__chrX
ENSMUST00000103260	Mir758__chr12
ENSMUST00000103261	Mir744__chr11
ENSMUST00000103262	Trbv1__chr6
ENSMUST00000103263	Trbv2__chr6
ENSMUST00000103264	Trbv3__chr6
ENSMUST00000103265	5830405F06Rik__chr6
ENSMUST00000103266	Trbv5__chr6
ENSMUST00000103267	Trbv12-1__chr6
ENSMUST00000103268	Trbv13-1__chr6
ENSMUST00000103269	Trbv12-2__chr6
ENSMUST00000103270	Trbv13-2__chr6
ENSMUST00000103271	Trbv13-3__chr6
ENSMUST00000103272	Trbv14__chr6
ENSMUST00000103273	Trbv15__chr6
ENSMUST00000103274	Trbv16__chr6
ENSMUST00000103275	Trbv17__chr6
ENSMUST00000103276	Trbv19__chr6
ENSMUST00000103277	Trbv20__chr6
ENSMUST00000103278	Trbv21__chr6
ENSMUST00000103279	Trbv23__chr6
ENSMUST00000103280	Trbv26__chr6
ENSMUST00000103281	Trbv29__chr6
ENSMUST00000103282	Trbv30__chr6
ENSMUST00000103284	Trbj1-1__chr6
ENSMUST00000103285	Trbj1-2__chr6
ENSMUST00000103286	Trbj1-3__chr6
ENSMUST00000103287	Trbj1-4__chr6
ENSMUST00000103288	Trbj1-5__chr6
ENSMUST00000103289	Trbj1-6__chr6
ENSMUST00000103290	Trbj1-7__chr6
ENSMUST00000103291	Trbc1__chr6
ENSMUST00000103293	Trbj2-1__chr6
ENSMUST00000103294	Trbj2-2__chr6
ENSMUST00000103295	Trbj2-3__chr6
ENSMUST00000103296	Trbj2-4__chr6
ENSMUST00000103297	Trbj2-5__chr6
ENSMUST00000103298	Trbj2-7__chr6
ENSMUST00000103299	Trbc2__chr6
ENSMUST00000103300	Trbv31__chr6
ENSMUST00000103301	Gm20730__chr6
ENSMUST00000103302	Igkv2-137__chr6
ENSMUST00000103303	Igkv1-135__chr6
ENSMUST00000103304	Igkv1-133__chr6
ENSMUST00000103305	Igkv1-132__chr6
ENSMUST00000103306	Igkv1-131__chr6
ENSMUST00000103307	Igkv14-130__chr6
ENSMUST00000103308	Igkv9-129__chr6
ENSMUST00000103309	Igkv17-127__chr6
ENSMUST00000103310	Igkv14-126__chr6
ENSMUST00000103311	Igkv11-125__chr6
ENSMUST00000103312	Igkv9-124__chr6
ENSMUST00000103313	Igkv9-123__chr6
ENSMUST00000103314	Igkv1-122__chr6
ENSMUST00000103315	Igkv17-121__chr6
ENSMUST00000103316	Igkv9-120__chr6
ENSMUST00000103317	Igkv1-117__chr6
ENSMUST00000103318	Igkv2-112__chr6
ENSMUST00000103319	Igkv2-112__chr6
ENSMUST00000103320	Igkv14-111__chr6
ENSMUST00000103321	Igkv1-110__chr6
ENSMUST00000103322	Igkv2-109__chr6
ENSMUST00000103323	Igkv16-104__chr6
ENSMUST00000103324	Igkv15-103__chr6
ENSMUST00000103325	Igkv14-100__chr6
ENSMUST00000103326	Igkv1-99__chr6
ENSMUST00000103327	Igkv12-98__chr6
ENSMUST00000103328	Igkv10-96__chr6
ENSMUST00000103329	Igkv10-95__chr6
ENSMUST00000103330	Igkv10-94__chr6
ENSMUST00000103331	Igkv19-93__chr6
ENSMUST00000103332	Igkv4-92__chr6
ENSMUST00000103333	Igkv4-91__chr6
ENSMUST00000103334	Igkv4-90__chr6
ENSMUST00000103335	Igkv12-89__chr6
ENSMUST00000103336	Igkv1-88__chr6
ENSMUST00000103337	Igkv4-86__chr6
ENSMUST00000103339	Igkv13-84__chr6
ENSMUST00000103340	Igkv4-81__chr6
ENSMUST00000103341	Igkv4-80__chr6
ENSMUST00000103342	Igkv4-79__chr6
ENSMUST00000103343	Igkv4-78__chr6
ENSMUST00000103344	Igkv4-74__chr6
ENSMUST00000103345	Igkv4-73__chr6
ENSMUST00000103346	Igkv4-72__chr6
ENSMUST00000103348	Igkv4-70__chr6
ENSMUST00000103349	Igkv4-69__chr6
ENSMUST00000103350	Igkv4-68__chr6
ENSMUST00000103351	Igkv4-63__chr6
ENSMUST00000103353	Igkv4-61__chr6
ENSMUST00000103354	Igkv4-59__chr6
ENSMUST00000103355	Igkv4-58__chr6
ENSMUST00000103356	Igkv4-57-1__chr6
ENSMUST00000103357	Igkv4-57__chr6
ENSMUST00000103359	Igkv4-55__chr6
ENSMUST00000103363	Igkv4-50__chr6
ENSMUST00000103364	Igkv5-48__chr6
ENSMUST00000103365	Igkv12-46__chr6
ENSMUST00000103366	Igkv5-45__chr6
ENSMUST00000103367	Igkv12-44__chr6
ENSMUST00000103368	Igkv5-43__chr6
ENSMUST00000103369	Igkv12-41__chr6
ENSMUST00000103370	Igkv5-39__chr6
ENSMUST00000103371	Igkv12-38__chr6
ENSMUST00000103372	Igkv5-37__chr6
ENSMUST00000103373	Igkv18-36__chr6
ENSMUST00000103374	Igkv1-35__chr6
ENSMUST00000103376	Igkv7-33__chr6
ENSMUST00000103377	Igkv6-32__chr6
ENSMUST00000103378	Igkv8-30__chr6
ENSMUST00000103379	Igkv6-29__chr6
ENSMUST00000103380	Igkv8-28__chr6
ENSMUST00000103381	Igkv8-27__chr6
ENSMUST00000103382	Igkv8-26__chr6
ENSMUST00000103383	Igkv6-25__chr6
ENSMUST00000103384	Igkv8-24__chr6
ENSMUST00000103386	Igkv6-23__chr6
ENSMUST00000103387	Igkv8-21__chr6
ENSMUST00000103388	Igkv6-20__chr6
ENSMUST00000103389	Igkv8-19__chr6
ENSMUST00000103390	Igkv8-18__chr6
ENSMUST00000103391	Igkv6-17__chr6
ENSMUST00000103392	Igkv8-16__chr6
ENSMUST00000103393	Igkv6-15__chr6
ENSMUST00000103394	Igkv6-14__chr6
ENSMUST00000103395	Igkv6-13__chr6
ENSMUST00000103396	Igkv3-12__chr6
ENSMUST00000103397	Igkv3-10__chr6
ENSMUST00000103398	Igkv3-9__chr6
ENSMUST00000103399	Igkv3-7__chr6
ENSMUST00000103400	Igkv3-5__chr6
ENSMUST00000103401	Igkv3-4__chr6
ENSMUST00000103402	Igkv3-3__chr6
ENSMUST00000103403	Igkv3-2__chr6
ENSMUST00000103404	Igkv3-1__chr6
ENSMUST00000103405	Igkj1__chr6
ENSMUST00000103406	Igkj2__chr6
ENSMUST00000103407	Igkj3__chr6
ENSMUST00000103408	Igkj4__chr6
ENSMUST00000103409	Igkj5__chr6
ENSMUST00000103410	Igkc__chr6
ENSMUST00000103416	Ighg2c__chr12
ENSMUST00000103418	Ighg2b__chr12
ENSMUST00000103420	Ighg1__chr12
ENSMUST00000103423	Ighg3__chr12
ENSMUST00000103426	Ighm__chr12
ENSMUST00000103427	Ighj4__chr12
ENSMUST00000103428	Ighj3__chr12
ENSMUST00000103429	Ighj2__chr12
ENSMUST00000103430	Ighj1__chr12
ENSMUST00000103439	Ighd1-1__chr12
ENSMUST00000103441	Gm16968__chr12
ENSMUST00000103442	Ighv5-2__chr12
ENSMUST00000103443	Ighv2-2__chr12
ENSMUST00000103444	Ighv5-4__chr12
ENSMUST00000103446	Ighv5-6__chr12
